contract_id,label,text,clause_type_attention,review_sensitive_category_score,category_absence_rate,category_absence_prevalence,short_clause_signal,late_document_position,no_numbering_signal,layout_irregularity,layout_irregularity_proxy,scope_note,clause_length_chars,clause_length_words,sentence_count,uppercase_ratio,relative_position,has_numbering,has_heading_keyword,has_signature_keyword,has_table_like_pattern,has_date,has_money,has_percentage,contains_negation,contains_obligation
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Document Name,DISTRIBUTOR AGREEMENT,0.3,0.3,0.14117647058823535,0.14117647058823535,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",21,2,1,0.9523809523809523,0.0,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Parties,Electric City of Illinois L.L.C.,0.3,0.3,0.10784313725490191,0.10784313725490191,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",32,5,3,0.1875,0.023255813953488372,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Parties,Electric City of Illinois LLC,0.3,0.3,0.10784313725490191,0.10784313725490191,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",29,5,1,0.20689655172413793,0.046511627906976744,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Agreement Date,"7th day of September, 1999.",0.3,0.3,0.7058823529411764,0.7058823529411764,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",27,5,1,0.037037037037037035,0.06976744186046512,1,0,0,0,1,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Effective Date,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",0.3,0.3,0.584313725490196,0.584313725490196,0.0,0.0,0.0,0.0,0.0,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",184,31,1,0.03260869565217391,0.09302325581395349,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Effective Date,"Unless earlier terminated otherwise provided therein, this Agreement, subject to the commencement date established in Section 1.3, shall be effective immediately.",0.3,0.3,0.584313725490196,0.584313725490196,0.0,0.0,0.0,0.0,0.0,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",162,21,2,0.018518518518518517,0.11627906976744186,1,1,0,0,0,0,0,1,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Expiration Date,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.",0.3,0.3,0.19215686274509802,0.19215686274509802,0.0,0.0,0.0,0.0,0.0,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",184,31,1,0.03260869565217391,0.13953488372093023,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Renewal Term,"If Distributor complies with all of the terms of this Agreement, the Agreement shall be renewable on an annual basis for one (1) year terms for up to another ten (10) years on the same terms and conditions as set forth herein.",1.0,1.0,0.6549019607843137,0.6549019607843137,0.0,0.0,0.0,0.0,0.0,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",226,42,1,0.017699115044247787,0.16279069767441862,1,0,0,0,0,0,0,0,1
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Governing Law,This Agreement is to be construed according to the laws of the State of Illinois.,1.0,1.0,0.14313725490196083,0.14313725490196083,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",81,15,1,0.04938271604938271,0.18604651162790697,0,0,0,0,0,0,0,0,0
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,The Distributor shall not order or purchase Products from any source other than the Company.,1.0,1.0,0.6470588235294117,0.6470588235294117,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,"Weakly supervised proxy for review prioritization; not expert legal risk, not legal advice, not policy-compliance ground truth.",92,15,1,0.043478260869565216,0.20930232558139536,0,0,0,0,0,0,0,1,1
