dataset,contract_id,text,label
LexGLUE_unfair_tos,unfair_tos_0,"last updated date : may 15 , 2017",[]
LexGLUE_unfair_tos,unfair_tos_1,"academia , inc. ( `` academia.edu '' or `` we '' ) offers a social networking service which enables its users , including graduate students and academics , to create academic profile pages and to connect with other users , including graduate students and academics , around the world with the same research interests ( the `` services '' ) through our website , accessible at academia.edu ( the `` site '' ) .",[]
LexGLUE_unfair_tos,unfair_tos_2,"please read carefully the following terms and conditions ( `` terms '' ) and our privacy policy , which may be found at academia.edu/privacy and which is incorporated by reference into these terms .",[]
LexGLUE_unfair_tos,unfair_tos_3,"these terms govern your access to and use of the site , services and collective content ( defined below ) , and constitute a binding legal agreement between you and academia.edu .",[]
LexGLUE_unfair_tos,unfair_tos_4,"arbitration notice : unless you opt out of arbitration within 30 days of the date you first agree to these terms by following the opt-out procedure specified in the `` arbitration '' section below , and except for certain types of disputes described in the `` arbitration `` section below , you agree that disputes between you and academia.edu will be resolved by binding , individual arbitration and you are waiving your right to a trial by jury or to participate as a plaintiff or class member in any purported class action or representative proceeding .",[7]
LexGLUE_unfair_tos,unfair_tos_5,"`` content '' means text , graphics , images , music , software , audio , video , information or other works of authorship .",[]
LexGLUE_unfair_tos,unfair_tos_6,"`` academia.edu content '' means content that academia.edu makes available through the site or services , including any content licensed from a third party , but excluding member content .",[]
LexGLUE_unfair_tos,unfair_tos_7,"`` member '' means a person who completes academia.edu 's account registration process , as described under the `` account registration '' section below .",[]
LexGLUE_unfair_tos,unfair_tos_8,"`` member content '' means content that a member posts , uploads , publishes , submits or transmits to be made available through the site or services .",[]
LexGLUE_unfair_tos,unfair_tos_9,"`` collective content '' means , collectively , academia.edu content and member content .",[]
LexGLUE_unfair_tos,unfair_tos_10,certain areas of the site ( and your access to or use of certain services or collective content ) may have different terms and conditions posted or may require you to agree with and accept additional terms and conditions .,[]
LexGLUE_unfair_tos,unfair_tos_11,"if there is a conflict between these terms and terms and conditions posted for a specific area of the site , services or collective content , the latter terms and conditions will take precedence with respect to your use of or access to that area of the site , services or collective content , as applicable .",[]
LexGLUE_unfair_tos,unfair_tos_12,"you acknowledge and agree that , by accessing or using the site or services or by downloading or posting any content from or on the site or through the services , you are indicating that you have read , and that you understand and agree to be bound by , these terms , whether or not you have registered on or through the site .",[4]
LexGLUE_unfair_tos,unfair_tos_13,"if you do not agree to these terms , then you have no right to access or use the site , services or collective content .",[]
LexGLUE_unfair_tos,unfair_tos_14,"if you accept or agree to these terms on behalf of a company , university or other legal entity , you represent and warrant that you have the authority to bind that company , university or other legal entity to these terms and , in such event , `` you '' and `` your '' will refer and apply to that company or other legal entity .",[]
LexGLUE_unfair_tos,unfair_tos_15,"academia.edu reserves the right , at its sole discretion , to modify the site , services and these terms , at any time and without prior notice .",[2]
LexGLUE_unfair_tos,unfair_tos_16,if we modify these terms we will post the modification on the site or provide you with notice of the modification .,[]
LexGLUE_unfair_tos,unfair_tos_17,we will also update the `` last updated date '' at the top of these terms .,[]
